sample_id	latitude	longitude	date	operator
ISTRIA02_FEB_5	44,859583	13,82146	19.02.25	Maximilian Wagner
ISTRIA02_FEB_6	44,859583	13,82146	19.02.25	Maximilian Wagner
ISTRIA01_SEP_5	44,901033	13,809473	30.09.24	Maximilian Wagner
